,Hospital Name,Hospital Address,City Name,Pin Code,State,Hospital Type,Contact Number
0,AMMA HOSPITAL - KURNOOL,"MADHAVA NAGAR,NANDYAL ROAD", KURNOOL, 518002, ANDHRA PRADESH, PPN, [8518]272379
1,KAMINENI HEALTH CARE PVT LTD,"1-51, KAMINENI HOSPITALS,100 FEETS ROAD, TADIGADAPA", VIJAYAWADA, 521137, ANDHRA PRADESH, PPN, [866]0866-2463333
2,LIBERTY HOSPITALS - VIJAYAWADA,"74-1-2,KING SQUARE COMPLEX,OPP:AUTONAGER BUSTERMINALS,PATAMATA,MG ROAD, KRISHNA(DIST)", VIJAYAWADA, 520007, ANDHRA PRADESH, PPN, [0866]2554888
3,SURAKSHA HEALTH PARK HOSPITALS - VISAKHAPATNAM,"104 AREA,OPPOSITE HANUMAN TEMPLE,MAIN ROAD ,MARRIPALEM", VISAKHAPATNAM, 530018, ANDHRA PRADESH, PPN, [891]6646666
4,VENKATAPADMA HOSPITAL - VIZIANAGARAM,"D.NO:15-1-45, 3 LAMPS JUNCTION, BESIDE MAJID", VIZIANAGARAM, 535002, ANDHRA PRADESH, PPN, [8922]227131/225777/232000
5,VENKATA RAMA HOSPITAL-VIZIANAGARAM,"OPP. RTC COMPLEX, BEHIND REVENUE FUNCTION HALL", VIZIANAGARAM, 535003, ANDHRA PRADESH, PPN, [08922]236759
6,VIDYU HEMANTH HOSPITAL - TIRUPATI,"10-13-508,REDDY & REDDY COLONY,TIRUPATI, CHITTOOR,", TIRUPATI, 517501, ANDHRA PRADESH, PPN, []9700311155
7,LOTUS HOSPITAL - NELLORE,"16/2/51, BESIDE S2 CINEMA HALL, POGATHOTA,", NELLORE, 524001, ANDHRA PRADESH, PPN, [861]2304289
8,SRI CHAKRA HOSPITAL - KURNOOL,"H NO -46/735,BUDHWAR PETA", KURNOOL, 518002, ANDHRA PRADESH, PPN, [8518]277995
9,PANDURANGA PRAJA VYDYASALA (UNDER NESHNA TRUST) - TUNI,"2-17-29,NEAR SRI RAMA THEATRE", TUNI, 533401, ANDHRA PRADESH, PPN, [8854]256092
10,SATEESH GASTRO & LIVER CENTER - VIJAYAWADA,"D.NO: 29-14-37, 5 ROUTE, PRAKASAM ROAD,SURYARAOPET,OPP APOLLO PRAMODINI DIAGNOSTICS,", VIJAYAWADA, 520002, ANDHRA PRADESH, PPN, [866]2442348
