Country,Continent,Population,%age of the world,Date,Source
China,Asia,"1,411,778,724",17.9%,1 Nov 2020, Preliminary 2020 census result
India,Asia,"1,379,418,479",17.5%,15 Jul 2021, National population clock
United States,Americas,"332,017,671",4.21%,15 Jul 2021, National population clock
Indonesia,Asia,"271,350,000",3.44%,31 Dec 2020, National annual estimate
Pakistan,Asia,"225,200,000",2.86%,1 Jul 2021, UN projection
Brazil,Americas,"213,406,410",2.71%,15 Jul 2021, National population clock
Nigeria,Africa,"211,401,000",2.68%,1 Jul 2021, UN projection
Bangladesh,Asia,"171,010,514",2.17%,15 Jul 2021, National population clock
Russia,Europe,"146,171,015",1.85%,1 Jan 2021, National annual estimate
Japan,Asia,"126,226,568",1.60%,1 Oct 2020, Preliminary 2020 census result
Mexico,Americas,"126,014,024",1.60%,2 Mar 2020, 2020 census result
Ethiopia,Africa,"117,876,000",1.50%,1 Jul 2021, UN projection
Philippines,Asia,"110,490,929",1.40%,15 Jul 2021, National population clock
Egypt,Africa,"102,041,074",1.29%,15 Jul 2021, National population clock
Vietnam,Asia,"97,580,000",1.24%,1 Jul 2020, National annual estimate
DR Congo,Africa,"92,378,000",1.17%,1 Jul 2021, UN projection
Iran,Asia,"84,610,589",1.07%,15 Jul 2021, National population clock
Turkey,Asia,"83,614,362",1.06%,31 Dec 2020, National annual estimate
Germany,Europe,"83,121,363",1.05%,31 Mar 2021, National quarterly estimate
France,Europe,"67,427,000",0.855%,1 Jun 2021, Monthly national estimate
United Kingdom,Europe,"67,081,234",0.851%,30 Jun 2020, National annual estimate
Thailand,Asia,"66,670,342",0.846%,15 Jul 2021, National population clock
South Africa,Africa,"59,622,350",0.756%,1 Jul 2020, National annual estimate
Tanzania,Africa,"59,441,988",0.754%,1 Jul 2021, National annual projection
Italy,Europe,"59,169,131",0.751%,31 Mar 2021, Monthly national estimate
Myanmar,Asia,"55,294,979",0.702%,1 Jul 2021, National annual projection
South Korea,Asia,"51,683,025",0.656%,1 May 2021, Monthly national estimate
Colombia,Americas,"51,049,498",0.648%,30 Jun 2021, National annual projection
Kenya,Africa,"47,564,296",0.603%,31 Aug 2019, 2019 census result
Spain,Europe,"47,394,223",0.601%,1 Jan 2021, National semi-annual estimate
Argentina,Americas,"45,808,747",0.581%,1 Jul 2021, National annual projection
Algeria,Africa,"44,700,000",0.567%,1 Jan 2021, National annual estimate
